Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0424-00960023-25,3,6,C3,560.00,98,97.93,BALLYSHANNON URBAN,04/2024,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0724-01070849-25,3,6,D1,950.00,100,93.00,BALLYSHANNON URBAN,07/2024,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0818-01374163-25,3,0,B1,520.00,100,93.00,BALLYSHANNON URBAN,08/2018,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0225-01305282-26,3,5,A2,"1,516.67",100,93.00,BALLYSHANNON URBAN,02/2025,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0126-01699687,3,3,,"1,000.00",100,89.00,BALLYSHANNON URBAN,01/2026,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1025-01591777,3,6,C2,750.00,100,80.00,BUNDORAN URBAN,10/2025,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0925-01561178,3,3,C1,800.00,100,80.00,PETTIGOE,09/2025,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0424-00962360-25,3,3,C1,800.00,100,80.00,DONEGAL,04/2024,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1018-01407534-25,3,5,C2,500.00,102,78.93,BUNDORAN URBAN,10/2018,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0424-00948559-25,3,4,C3,800.00,90,76.67,BUNDORAN RURAL,04/2024,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0725-01503825,3,5,,"1,000.00",77,,BALLYSHANNON URBAN,07/2025,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0818-01379030-25,3,3,D2,700.00,70,,DONEGAL,08/2018,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0819-01506377-25,3,5,E1,850.00,73,,DONEGAL,08/2019,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0425-01406445,3,3,D1,875.00,75,,BALLINTRA,04/2025,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0226-01766242,3,3,,580.00,70,,TANTALLON,02/2026,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0525-01436298,3,5,E1,"1,100.00",80,,BALLYSHANNON URBAN,05/2025,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1119-01543327-25,3,0,E1,563.33,85,,BALLYSHANNON URBAN,11/2019,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0725-01502805-25,3,6,B3,600.00,160,,EANYMORE,07/2025,2025
DONEGAL COUNTY COUNCIL,Donegal,House,RT-1020-01659724-26,3,6,,606.67,155,,DONEGAL,10/2020,2026
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0825-01518721,3,3,,"1,000.00",135,,BALLYSHANNON URBAN,08/2025,
DONEGAL COUNTY COUNCIL,Donegal,House,RT-0924-01151247-25,3,6,E1,700.00,120,,BALLYSHANNON URBAN,09/2024,2025
