Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1024-01179299-25,3,5,C1,"3,000.00",107,,FIRHOUSE VILLAGE,10/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0724-01060296-25,3,0,B3,"2,800.00",105,,FIRHOUSE VILLAGE,07/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0126-01720600,3,6,C2,"3,085.00",103,,FIRHOUSE VILLAGE,01/2026,
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-1219-01555955-25,3,5,C2,"1,920.00",102,,FIRHOUSE VILLAGE,12/2019,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0119-01436211-26,3,3,D2,"1,945.00",102,,FIRHOUSE VILLAGE,01/2019,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0618-01350302-25,3,5,D2,"1,651.00",101,,FIRHOUSE VILLAGE,06/2018,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0920-01647562-25,3,6,B3,"1,876.00",99,,FIRHOUSE VILLAGE,09/2020,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0320-01588451-26,3,4,C3,"1,656.00",99,,FIRHOUSE VILLAGE,03/2020,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0819-01510286-25,3,4,C3,"1,854.00",98,,FIRHOUSE VILLAGE,08/2019,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0119-01435357-26,3,0,,"1,771.00",85,,FIRHOUSE VILLAGE,01/2019,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0924-01132704-25,3,2,,"1,436.00",85,,FIRHOUSE VILLAGE,09/2024,2025
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0325-01365268-26,3,3,,"2,310.00",120,,FIRHOUSE VILLAGE,03/2025,2026
SOUTH DUBLIN COUNTY COUNCIL,Firhouse - Bohernabreena,House,RT-0825-01533782,4,0,,"2,663.00",50,,FIRHOUSE VILLAGE,08/2025,
