Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0425-01396738,3,3,C3,"1,470.00",118,,BARNA,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01561345,3,0,B1,"2,710.00",117,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01494959,3,3,C2,"2,200.00",117,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01478735,3,5,B3,"2,500.00",116,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0218-01311848-26,3,7,D1,"1,289.95",116,,BARNA,02/2018,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01767280,3,5,C1,"2,500.00",126,,BARNA,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0525-01442146,3,3,,"1,591.00",70,,BARNA,05/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0624-01036663-25,3,0,B3,"2,600.00",112,,BARNA,06/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0525-01411649,3,3,C2,"1,170.00",111,,BARNA,05/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1024-01187740-25,3,3,C3,"1,388.00",111,,BARNA,10/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1118-01418389-25,3,0,C3,"1,400.00",75,,BARNA,11/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0219-01444438-26,3,5,D2,"1,145.00",75,,BARNA,02/2019,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0225-01310301-26,3,3,B2,"2,100.00",110,,BARNA,02/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1219-01558223-25,3,3,B3,918.00,110,,BARNA,12/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0624-01024797-25,3,5,B3,"1,650.00",110,,BARNA,06/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01586514,3,3,C2,"1,732.00",110,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01481850,3,4,C2,"2,450.00",110,,KNOCKNACARRAGH,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0719-01495477-25,3,3,C3,"1,209.00",110,,BARNA,07/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01567066,3,0,G,"2,445.00",80,,TAYLORS HILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1119-01545494-25,3,5,,"1,020.00",80,,BARNA,11/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1124-01216542-25,3,0,A2,"2,600.00",85,,BARNA,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0619-01493222-25,3,6,E1,"1,063.00",105,,TAYLORS HILL,06/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1125-01640676,3,5,C1,"1,800.00",106,,BARNA,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1125-01649311,3,0,C3,"1,700.00",104,,TAYLORS HILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1024-01173319-25,3,0,C2,"1,810.00",107,,BARNA,10/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01747718,3,3,B3,"2,300.00",84,,BARNA,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0418-01335052-25,3,5,C1,"1,301.00",84,,BARNA,04/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0518-01339352-25,3,3,C1,993.00,85,,BARNA,05/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0825-01540073,3,3,C3,"1,500.00",85,,BARNA,08/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0818-01375784-25,3,5,B3,661.00,100,,BARNA,08/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0924-01144413-25,3,3,B3,"1,455.00",100,,TAYLORS HILL,09/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0325-01343890,3,0,C3,"2,160.00",85,,BARNA,03/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01594427,3,5,C3,"2,200.00",94,,BARNA,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1224-01258887-25,3,3,D1,"2,500.00",90,,BARNA,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1024-01195182-25,3,3,D2,"1,450.00",90,,BARNA,10/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0825-01513112,3,5,D1,"2,000.00",91,,BARNA,08/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0818-01372280-25,4,0,D1,"1,479.00",60,,BARNA,08/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0225-01310366-26,4,4,E1,"1,880.00",59,,BARNA,02/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0418-01326795-25,4,6,,"1,200.00",60,,BARNA,04/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0819-01512180-25,4,0,C3,"1,884.00",55,,BARNA,08/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0120-01569394-25,4,8,D1,"1,025.00",100,,SALTHILL,01/2020,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0924-01158039-25,4,4,,"1,860.00",110,,SALTHILL,09/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0825-01512630,4,4,A2,"2,700.00",120,,BARNA,08/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1019-01534027-25,4,0,C1,"1,625.00",120,,BARNA,10/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0126-01716693,4,4,C1,"1,100.00",120,,BARNA,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0725-01479872,4,5,C1,"1,500.00",120,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1118-01417699-25,4,7,,"1,811.00",167,,SALTHILL,11/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0918-01391189-25,4,6,,"1,750.00",90,,SALTHILL,09/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0724-01058174-25,4,0,A2,"3,250.00",107,,BARNA,07/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0818-01378579-25,4,6,C2,"1,239.88",116,,BARNA,08/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1124-01215423-25,4,8,C3,"1,761.00",114,,TAYLORS HILL,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01552473,4,4,A2,"3,250.00",85,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1124-01202021-25,4,4,B3,"1,600.00",110,,BARNA,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01765263,4,6,C1,"2,400.00",110,,BARNA,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1219-01558850-25,4,6,,"1,221.00",80,,BARNA,12/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0424-00944336-25,4,0,B2,"2,800.00",85,,BARNA,04/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0319-01458790-25,4,6,C3,"1,311.00",105,,BARNA,03/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1121-00013853-26,4,4,C3,"1,400.00",106,,BARNA,11/2021,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0120-01565582-26,4,4,C3,"1,442.00",102,,BARNA,01/2020,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0624-01031580-25,4,4,C3,"1,679.00",102,,BARNA,06/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0524-00983608-25,4,0,C3,"1,615.00",102,,BARNA,05/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01605872,4,4,D1,"1,386.67",102,,TAYLORS HILL,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01605886,4,4,D1,"1,386.67",102,,TAYLORS HILL,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0625-01448909,4,0,B2,"1,875.00",90,,BARNA,06/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01609336,4,4,C1,"1,850.00",90,,KNOCKNACARRAGH,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0126-01700162,4,5,C1,"3,200.00",100,,BARNA,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01581372,4,6,C1,"1,400.00",100,,TAYLORS HILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1225-01681521,4,6,C1,"1,330.00",100,,BARNA,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01579262-25,4,4,C1,"1,022.00",100,,BARNA,09/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01596155-25,4,3,C1,"1,450.00",100,,BARNA,10/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0319-01462306-25,4,4,C2,"1,231.00",100,,BARNA,03/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0719-01496733-25,4,4,C1,"1,457.50",90,,BARNA,07/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1024-01163529-25,4,0,C1,"2,605.00",90,,TAYLORS HILL,10/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0618-01352994-25,4,4,C1,"1,300.00",90,,BARNA,06/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0518-01342730-25,4,4,C1,"1,375.00",90,,BARNA,05/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0518-01338777-25,4,4,C1,"1,375.00",90,,BARNA,05/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0624-01039301-25,4,3,D1,"2,090.00",95,,BARNA,06/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01566451,4,6,C1,"1,250.00",96,,TAYLORS HILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0525-01441937-25,4,6,B3,"2,000.00",98,,BARNA,05/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0320-01591123-26,4,0,C3,"1,500.00",92,,BARNA,03/2020,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0519-01475670-25,4,6,D1,"1,201.00",98,,TAYLORS HILL,05/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0518-01342766-25,4,4,C1,"1,072.58",90,,BARNA,05/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0625-01457147,5,5,,"3,700.00",120,,SALTHILL,06/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1224-01234909-25,5,7,B2,"2,950.00",171,,BARNA,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01555782,5,0,B3,"3,000.00",150,,ROCKBARTON,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0325-01341199-26,5,5,C1,"2,750.00",111,,TAYLORS HILL,03/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01780204,5,5,C2,700.00,79,,,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1219-01551092-26,5,0,D2,"1,636.00",120,,BARNA,12/2019,2026
