Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0324-00918551-25,2,4,D2,"1,521.00",60,,MERCHANTS QUAY A,03/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1025-01598859,2,0,,"1,600.00",42,,MERCHANTS QUAY A,10/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01640191,2,4,,"1,300.00",45,,MERCHANTS QUAY A,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01496488-26,2,2,,"1,737.00",47,,MERCHANTS QUAY A,07/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0125-01289470-26,2,3,D1,"2,350.00",45,,MERCHANTS QUAY B,01/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0625-01443419,2,4,D1,"1,923.00",55,,MERCHANTS QUAY A,06/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01495150,2,0,C2,"2,600.00",58,,MERCHANTS QUAY A,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01315658-26,2,2,C2,"2,300.00",52,,MERCHANTS QUAY A,02/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0326-01791014,2,0,C3,"1,700.00",52,,MERCHANTS QUAY A,03/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01750858,2,2,D2,"2,140.00",52,,MERCHANTS QUAY A,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0625-01469177,2,2,D2,"1,950.00",58,,MERCHANTS QUAY A,06/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01640618,2,3,C3,"2,295.00",50,,MERCHANTS QUAY A,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0719-01495171-25,3,0,,"1,800.00",75,,MERCHANTS QUAY A,07/2019,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01082111-25,3,3,B2,"3,458.48",88,,MERCHANTS QUAY A,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1025-01618393,3,6,C3,"2,163.00",80,,MERCHANTS QUAY A,10/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01529175,3,3,D1,"3,434.00",100,,MERCHANTS QUAY A,08/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01585182,3,3,,"2,800.00",90,,MERCHANTS QUAY A,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01560820,3,6,,"3,100.00",100,,MERCHANTS QUAY A,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01551532,3,6,,"3,100.00",100,,MERCHANTS QUAY A,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01551546,3,6,,"3,100.00",100,,MERCHANTS QUAY A,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0425-01397835,3,0,,"1,473.33",79,,MERCHANTS QUAY A,04/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01544677,2,4,C3,"2,150.00",50,,MERCHANTS QUAY A,08/2025,
